epoch,train_loss,lambda_sym,val_rmse_x,val_rmse_y,val_rmse_z,ood_rmse_x,ood_rmse_y,ood_rmse_z
230,0.0009401323932718533,0.033333,0.013172111,0.015621567,0.041707505,5.073067,5.920369,2.2446568
231,0.0009102691252244255,0.03,0.013351367,0.015501153,0.04142259,5.04711,5.929251,2.2349548
232,0.0008818917315996563,0.026667,0.013533406,0.015429327,0.04136785,5.064262,5.931618,2.248119
233,0.0008518897673825566,0.023333,0.01358835,0.015508801,0.04159629,4.975718,5.87988,2.1891391
234,0.0008206481658047638,0.02,0.012562435,0.015091809,0.04107757,5.0397406,5.9397125,2.2438138
235,0.0007855798370049646,0.016667,0.012689235,0.014882184,0.041025165,4.951686,5.880514,2.1783152
236,0.0007568390585500031,0.013333,0.012538635,0.014874618,0.040903877,4.9590926,5.9004145,2.2026637
237,0.0007246848149523616,0.01,0.012477136,0.015597362,0.04066591,4.8743167,5.82398,2.1784701
238,0.0006954381085681514,0.006667,0.0125982305,0.015519689,0.040654983,4.9337406,5.8793283,2.1909647
239,0.0006610779550660831,0.003333,0.012564571,0.014561059,0.040406466,4.8382125,5.8254805,2.1473346
240,0.0015264080609015834,0.1,0.013353011,0.015908966,0.04105453,5.112696,5.9968195,2.319925
241,0.0014459903028089171,0.1,0.013739015,0.01650284,0.04179416,5.116508,5.939488,2.324617
242,0.001435565451780955,0.1,0.013681949,0.01624517,0.04155064,5.174792,5.979237,2.3534195
243,0.001428854746523146,0.1,0.014174663,0.01671371,0.041532744,5.224503,5.9948034,2.3834379
244,0.001420659549647751,0.1,0.014127439,0.0166313,0.04187263,5.297843,6.036292,2.4312751
245,0.0014196151654080798,0.1,0.013990889,0.016988924,0.042042136,5.354311,6.079579,2.4583335
246,0.0014175846217534482,0.1,0.01435738,0.017199744,0.042005464,5.2219057,5.9670043,2.3624861
247,0.0014166259273994141,0.1,0.0144201685,0.018497176,0.04314721,5.4370837,6.1538157,2.5120914
248,0.0014099449252124685,0.1,0.013987298,0.016999288,0.042147644,5.3326774,6.035923,2.4450634
249,0.0014081420257496529,0.1,0.014424869,0.01696377,0.04235219,5.4353595,6.125013,2.5319276
250,0.0014076802807931716,0.1,0.014031248,0.016695661,0.042110603,5.434345,6.1347017,2.5249162
251,0.0014016840484542532,0.1,0.014201854,0.017161464,0.042668305,5.4197397,6.1247187,2.4987078
252,0.001396600652533846,0.1,0.01427597,0.01662537,0.042233262,5.5371366,6.198453,2.5445096
253,0.001397323931973332,0.1,0.014536559,0.016867248,0.04240491,5.5076337,6.1791534,2.5341537
254,0.0013965802955238197,0.1,0.0145634115,0.016771398,0.042448316,5.53853,6.2130046,2.5347452
255,0.0013925067652076578,0.1,0.014555714,0.016898632,0.042936247,5.44327,6.133969,2.4912572
256,0.0013725279758755977,0.1,0.013954652,0.01643606,0.04202944,5.515786,6.1741366,2.5371618
257,0.001371294881652993,0.1,0.013952194,0.01656809,0.042177692,5.52712,6.1844077,2.5477061
258,0.0013685835964189698,0.1,0.013958532,0.016562374,0.04203765,5.5449433,6.2085085,2.5598013
259,0.0013665195803743047,0.1,0.01402083,0.016566046,0.042278927,5.523572,6.2013674,2.5535953
260,0.0013685342296062468,0.1,0.013949042,0.016617589,0.04203548,5.526995,6.195268,2.5726638
261,0.0013674796873834939,0.1,0.013940825,0.016401479,0.041980095,5.5206633,6.1910195,2.5651243
262,0.0013669895654460655,0.1,0.014110702,0.016597211,0.04217404,5.53087,6.1982555,2.5495257
263,0.0013631095502298707,0.1,0.013937805,0.016521418,0.04204724,5.540722,6.214796,2.5871923
264,0.0013650599990237074,0.1,0.014012828,0.016588198,0.04256569,5.5101614,6.1977553,2.537348
265,0.0013640754392000441,0.1,0.014046866,0.01657008,0.04206787,5.536579,6.2071233,2.5629134
266,0.0013636467927613128,0.1,0.014112762,0.016549794,0.04211621,5.552021,6.219623,2.5584157
267,0.0013603112930491662,0.1,0.014167126,0.016687118,0.041951403,5.5654697,6.239485,2.563496
268,0.001358634812417082,0.1,0.014018752,0.016586425,0.041983988,5.5684075,6.2346873,2.5662067
